name,nametype,recclass,mass (g),fall,year,reclat,reclong,country,continent
Bustee,Valid,Aubrite,1500.0,Fell,1852,26.78333,82.83333,India,Asia
Butsura,Valid,H6,29000.0,Fell,1861,27.08333,84.08333,India,Asia
Buzzard Coulee,Valid,H4,41000.0,Fell,2008,52.996,-109.84817,Canada,North America
Cabezo de Mayo,Valid,L/LL6,25000.0,Fell,1870,37.98333,-1.16667,Spain,Europe
Cabin Creek,Valid,"Iron, IIIAB",48500.0,Fell,1886,35.5,-93.5,United States of America,North America
Cacak,Valid,OC,212.0,Fell,1919,43.83889,20.33333,Serbia,Europe
Cali,Valid,H/L4,478.0,Fell,2007,3.405,-76.51,Colombia,South America
Calivo,Valid,Stone-uncl,2400.0,Fell,1916,11.75,122.33333,,
Campos Sales,Valid,L5,23680.0,Fell,1991,-7.03333,-40.16667,Brazil,South America
Çanakkale,Valid,L6,4000.0,Fell,1964,39.8,26.6,Turkey,Asia
Cañellas,Valid,H4,945.0,Fell,1861,41.25,1.66667,Spain,Europe
Cangas de Onis,Valid,H5,34000.0,Fell,1866,43.38333,-5.15,Spain,Europe
Canon City,Valid,H6,1400.0,Fell,1973,38.47028,-105.24139,United States of America,North America
Cape Girardeau,Valid,H6,2300.0,Fell,1846,37.26667,-89.58333,United States of America,North America
Capilla del Monte,Valid,H6,750.0,Fell,1934,-30.88333,-64.55,Argentina,South America
Carancas,Valid,H4-5,342.0,Fell,2007,-16.66444,-69.04389,Bolivia,South America
Caratash,Valid,LL6,8.0,Fell,1902,38.5,27.0,Turkey,Asia
Castalia,Valid,H5,7300.0,Fell,1874,36.08333,-78.06667,United States of America,North America
Castine,Valid,L6,94.0,Fell,1848,44.38333,-68.75,United States of America,North America
Castrovillari,Valid,Stone-uncl,15000.0,Fell,1583,39.8,16.2,Italy,Europe
Caswell County,Valid,OC,1360.0,Fell,1810,36.5,-79.25,United States of America,North America
Ceniceros,Valid,L3.7,1025.0,Fell,1988,26.46667,-105.23333,Mexico,North America
Centerville,Valid,H5,45.6,Fell,1956,43.2,-96.91667,United States of America,North America
Cereseto,Valid,H5,6460.0,Fell,1840,45.08333,8.3,Italy,Europe
Chadong,Valid,L6,3700.0,Fell,1998,28.53333,109.31667,China,Asia
Chail,Valid,H6,0.5,Fell,1814,25.36667,81.66667,India,Asia
Chainpur,Valid,LL3.4,8200.0,Fell,1907,25.85,83.48333,India,Asia
Chajari,Valid,L5,18300.0,Fell,1933,-30.78333,-58.05,Argentina,South America
Chandakapur,Valid,L5,8800.0,Fell,1838,20.26667,76.01667,India,Asia
Chandpur,Valid,L6,1100.0,Fell,1885,27.28333,79.05,India,Asia
Changde,Valid,H5,1810.0,Fell,1977,29.08333,111.75,China,Asia
Chantonnay,Valid,L6,31500.0,Fell,1812,46.68333,1.05,France,Europe
Charlotte,Valid,"Iron, IVA",4300.0,Fell,1835,36.16667,-87.33333,United States of America,North America
Charsonville,Valid,H6,27000.0,Fell,1810,47.93333,1.56667,France,Europe
Charwallas,Valid,H6,12000.0,Fell,1834,29.48333,75.5,India,Asia
Chassigny,Valid,Martian (chassignite),4000.0,Fell,1815,47.71667,5.36667,France,Europe
Château-Renard,Valid,L6,30000.0,Fell,1841,47.93333,2.91667,France,Europe
Chaves,Valid,Howardite,2945.0,Fell,1925,41.93333,-7.46667,Spain,Europe
Chela,Valid,H4,2936.0,Fell,1988,-3.66667,32.5,Tanzania,Africa
Chelyabinsk,Valid,LL5,100000.0,Fell,2013,54.81667,61.11667,Russia,Europe
Chergach ,Valid,H5,100000.0,Fell,2007,23.69639,-5.01472,Mali,Africa
Chernyi Bor,Valid,H4,6000.0,Fell,1964,53.7,30.1,Belarus,Europe
Cherokee Springs,Valid,LL6,8400.0,Fell,1933,35.03333,-81.88333,United States of America,North America
Chervettaz,Valid,L5,705.0,Fell,1901,46.55,6.81667,Switzerland,Europe
